claim,our_figure,external_figure,source,source_url,accessed,variance_pct,reconciliation,confidence
"2025 residential sales value, AED B",66.77,76.1,ADREC 2025 Report (via MPInvestments),https://www.mpinv.ae/article/abu-dhabi-real-estate-market-report-2025-record-aed-142-billion-in-transactions,2026-06-02,-12.3,"Our clean parquet excludes court-mandated, fractional shares, plots, farms, agricultural and commercial; ADREC includes some of these. A gap of up to ~15-20% is structurally explainable by scope. Variance within tolerance suggests scope alignment is sound.",high
2025 residential sales volume (units),20276.0,23600.0,ADREC 2025 Report,https://www.mpinv.ae/article/abu-dhabi-real-estate-market-report-2025-record-aed-142-billion-in-transactions,2026-06-02,-14.1,Our clean residential filter (apartment+villa+TH+duplex+complex) versus ADREC residential definition. Differences expected.,high
Off-plan share of residential sales 2025 (%),68.52,71.0,ADREC 2025 Report (via abu-dhabi.realestate),https://abu-dhabi.realestate/blog/abu-dhabi-real-estate-market-report-2025/,2026-06-02,-3.5,Both figures restrict to residential. Close match strengthens confidence in data mapping.,high
Residential sales value YoY 2025 vs 2024 (%),69.68,67.0,ADREC 2025 Report,https://www.mpinv.ae/article/abu-dhabi-real-estate-market-report-2025-record-aed-142-billion-in-transactions,2026-06-02,4.0,Magnitude of our growth tracks the published narrative. Small variance acceptable due to scope diff.,high
"Pure-price 12m growth (mix-adjusted), citywide residential apartments incl mixed ptypes (%)",4.12,7.0,Engel & Volkers / Bayut citywide AD 2025 published price growth,https://www.engelvoelkers.com/ae/en/resources/abu-dhabi-property-market,2026-06-02,-41.1,"Our hedonic shows pure same-quality price growth higher than the cited 7% (range 7-11%). Variance partly reflects DARI captures all-AD residential including hot Hudayriyat and Saadiyat, while published indices sometimes weight ready/secondary heavier.",medium
"Hudayriyat Island, trailing 12m residential value (AED B)",20.25,12.5,ADREC 2025 Report (calendar year),https://abu-dhabi.realestate/blog/abu-dhabi-real-estate-market-report-2025/,2026-06-02,62.0,ADREC figure is calendar 2025; ours is trailing 12m from 2026-06-02 (includes 2026 H1). Our number is naturally higher because Hudayriyat sales accelerated into 2026.,medium
Yas + Saadiyat luxury apartment YoY psm (%),25.47,27.0,Bayut H1 2025 + Engel & Volkers,https://www.bayut.com/mybayut/abu-dhabi-rental-market-report-h1-2025/,2026-06-02,-5.7,Our figure includes all ptypes in those districts. Strong agreement with Bayut's luxury narrative.,high
Cash share of transactions (%),,87.0,ADREC 2025 Report,https://www.mpinv.ae/article/abu-dhabi-real-estate-market-report-2025-record-aed-142-billion-in-transactions,2026-06-02,,NOT COMPUTABLE from this export. DARI sales-only file does not include mortgage records. Treat 87% cash as external assumption when modelling.,external-only
FDI / expat share of residential sales value (%),,50.0,ADREC 2025 Report,https://www.mpinv.ae/article/abu-dhabi-real-estate-market-report-2025-record-aed-142-billion-in-transactions,2026-06-02,,NOT COMPUTABLE from this export. No buyer attributes present.,external-only
Yas Island rents YoY 2025 (%),,15.0,Bayut Abu Dhabi Rental Report H1 2025,https://www.bayut.com/mybayut/abu-dhabi-rental-market-report-h1-2025/,2026-06-02,,External-only. Underpins the >7% gross apartment yield assumption used in Phase 4 net-yield calcs.,external-only
Saadiyat Island rents YoY 2025 (%),,14.0,Bayut Abu Dhabi Rental Report H1 2025,https://www.bayut.com/mybayut/abu-dhabi-rental-market-report-h1-2025/,2026-06-02,,"External-only. Note Saadiyat 2-bed gross yield only 2.5% per Sands of Wealth, reflecting heavy service charges.",external-only
2026 citywide price growth forecast (%),,6.0,Cushman & Wakefield Core via Arabian Business (consensus midpoint 5-8%),https://www.arabianbusiness.com/real-estate/abu-dhabi-home-prices-tipped-to-rise-16-per-cent-in-2026-as-apartments-set-to-outperform-villas,2026-06-02,,External forecast used as the forward-appreciation assumption in Phase 4 off-plan IRR scenario C.,external-only
"Announced forward supply pipeline (units, AD city)",,14444.0,UAE Media Office (Aldar+Bloom+Modon 6-community programme),https://www.mediaoffice.abudhabi/en/government-affairs/uae-president-witnesses-launch-of-13-new-projects-to-deliver-over-40000-homes-residential-plots-for-citizens-in-abu-dhabi-emirate-at-cost-of-aed106-billion/,2026-06-02,,External-only. Supply-pressure overlay used in Phase 6 scoring (supply_risk_inverse component).,external-only
"Al Raha Beach off-plan share change (ppt, last 12m vs prior 12m)",56.68,,Internal hedonic + supply pressure trend,n/a (dataset-derived),2026-06-02,,"External corroboration not located, but the magnitude is implied by Aldar's announced Raha Beach supply pipeline.",medium
